"","State","IFR_UK","IFR_Peru","IFR_UK_poorer","IFR_Peru_poorer"
"1","AC",0.003803468119464,0.00388249692371086,0.007751970520996,0.00775936942792459
"2","AL",0.00512614976172966,0.00527257288414571,0.0106171846599872,0.0106788680836111
"3","AM",0.00370381599677649,0.00376168584758286,0.00787775996420193,0.00785237212556227
"4","AP",0.00343061616444619,0.00349037247168403,0.00734042851364634,0.00732488017799792
"5","BA",0.00591305320569885,0.00615506101262935,0.0110228165727705,0.0112027344305874
"6","CE",0.00583331469507329,0.00609225180002312,0.0107011317403316,0.0109094640335776
"7","ES",0.00630138635204521,0.00653433974132362,0.00874511945381515,0.00894510983172715
"8","MA",0.00480640156576828,0.00497600723498957,0.0103388023441447,0.0104327864562268
"9","MG",0.00691083435346304,0.00721842889178262,0.0101367975747064,0.0104119889878791
"10","PA",0.0042351765792818,0.00432587213646171,0.00889767100596155,0.00890604576676544
"11","PB",0.00621722000985039,0.00650640146028029,0.0113197061813051,0.011555964551284
"12","PE",0.00579843806750097,0.00601325136649943,0.0105594241640668,0.0107106316545931
"13","PI",0.0056647800620718,0.005858566403811,0.0110200436139154,0.0111396863263202
"14","PR",0.00661238386945186,0.00685333509043417,0.00836065490976567,0.00857885661123224
"15","RJ",0.00726232409647952,0.00757507443389387,0.00762415134715748,0.00793304289784407
"16","RN",0.00595048303954099,0.00621978711772465,0.0103688300886115,0.0105907271589804
"17","RO",0.00448149652118931,0.0045436379307208,0.00809982820875393,0.00808992918329739
"18","RR",0.00334564229335354,0.00338126909996315,0.00674045476953424,0.00670884553200442
"19","RS",0.00776533635255119,0.00811818002421731,0.00836762420138374,0.0087149003822191
"20","SC",0.0064567941005626,0.00667397620752381,0.00740768837032565,0.00761215243938302
"21","SE",0.00513895231721812,0.00528892795859188,0.00962195222751096,0.00970382352613776
"22","SP",0.00672279267263354,0.00698757883886452,0.00672279267263354,0.00698757883886452
"23","TO",0.00492588872206467,0.00507489109620529,0.00887385462900001,0.00896213164656797
