"","state","IFR","total_pop"
"1","Abruzzo",0.0118480859663198,1311580
"2","Basilicata",0.0116707742788788,562869
"3","Calabria",0.0109783087272749,1947131
"4","Campania",0.0098652112252231,5801692
"5","Emilia-Romagna",0.0118953787152158,4459477
"6","Friuli Venezia-Giulia",0.0126305729131385,1215220
"7","Lazio",0.0110849176296169,5879082
"8","Liguria",0.0137508789230325,1550640
"9","Lombardia",0.0113596452795185,10060574
"10","Marche",0.0122351038671399,1525271
"11","Molise",0.0121823315985078,305617
"12","Provincia Autonoma Bolzano",0.010168145142138,531178
"13","Provincia Autonoma Trento",0.0110302192990657,541098
"14","Piemonte",0.0125601716722244,4356406
"15","Puglia",0.0110915440327446,4029053
"16","Sardegna",0.0118372074100231,1639591
"17","Sicilia",0.0107902190609832,4999891
"18","Toscana",0.0124320017142522,3729641
"19","Trentino Alto-Adige",0.0106013317734496,1072276
"20","Umbria",0.0124884901461525,882015
"21","Valle D'Aosta",0.0118480462468814,125666
"22","Veneto",0.0114694601671327,4905854
