"age_cat","ln_mu","ln_sd","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta","age_cat_label"
"1",-12.9032446100782,0.467271985856045,2.77718410438589e-06,1.21695858923266e-06,6.3395635133109e-06,3.81658887642554,1374261.8903184,"0-4"
"2",-12.2140752709027,0.428611179395136,5.43733504070376e-06,2.52997366507078e-06,1.16891100784751e-05,4.66283552007763,857554.32243424,"5-9"
"3",-11.5267631280253,0.390878971083214,1.06455356338007e-05,5.25964219537463e-06,2.15527921030873e-05,5.75591948108975,540682.818060215,"10-14"
"4",-10.8411804573268,0.354011498860794,2.08424583149934e-05,1.09344363561157e-05,3.97397957860195e-05,7.19157212592608,345037.141358251,"15-19"
"5",-10.1572135361166,0.317951901382496,4.08065956994165e-05,2.27319452511595e-05,7.32736325558634e-05,9.11647827280355,223397.862627654,"20-24"
"6",-9.47476058412503,0.282649288513545,7.98935628134498e-05,4.72581592751872e-05,0.000135104499702047,11.7652535289664,147249.830232432,"25-29"
"7",-8.79373007817819,0.248057898666938,0.000156420335233157,9.82464805982694e-05,0.000249110426261784,15.5322679255431,99282.7328993944,"30-34"
"8",-8.11407792360157,0.214315688491205,0.000306248921900987,0.000204180359840393,0.000459465570747852,21.0865095321053,68833.0645556029,"35-39"
"9",-7.43597827470064,0.182850504424197,0.000599592007696629,0.000423052925616503,0.000849997401237488,29.2369899299202,48732.2367365729,"40-44"
"10",-6.7594313113353,0.155057910290937,0.00117391632497311,0.000871470004320146,0.00158160442113876,40.8667892616842,34771.4860099214,"45-49"
"11",-6.08435454627672,0.132634512024429,0.00229836198687553,0.00177859699726105,0.00297032019495964,55.9318774597281,24279.6069885323,"50-54"
"12",-5.41067915884036,0.118083288457561,0.00449986749887466,0.00357827788591385,0.00565897452831268,70.4469892173644,15584.9004704538,"55-59"
"13",-4.7383560665012,0.114017599698013,0.00881010377407075,0.00705943512916565,0.0109949316978454,75.2270503361162,8463.49760776824,"60-64"
"14",-4.06737002967255,0.121369148873572,0.0172489364147186,0.0136320009231567,0.0218264720439911,65.8123096059738,3749.62929349576,"65-69"
"15",-3.39774760183773,0.13852098728734,0.033770975112915,0.0258490176200867,0.0441260209083557,49.6021052805572,1419.17707905481,"70-74"
"16",-2.72954490390994,0.162742608318399,0.0661187887191772,0.0483951587677002,0.0903504133224487,34.5679222160721,488.247496603691,"75-79"
"17",-2.06283519753567,0.191750536847563,0.129451231002808,0.0898758449554445,0.186498119354248,22.9598433577841,154.403038245761,"80-84"
"18",-1.01185051136424,0.247261479464486,0.374830486297607,0.235957558631897,0.596111497879028,9.44364912302553,15.7508040184606,"85+"
