"","country","popt","ifr"
"1","Denmark",5792203,0.0102074697882139
"2","Norway",5421242,0.00914956406203488
"3","Sweden",10099270,0.0103110432111081
"4","United Kingdom",67886004,0.0103504384028517
"5","Italy",60461828,0.0124496263593357
"6","Spain",46754783,0.0107838730158524
"7","Austria",9006400,0.0103882259256609
"8","Belgium",11589616,0.0109598776668092
"9","France",65273512,0.012556187488595
"10","Germany",83783945,0.0123324426034139
"11","Switzerland",8654618,0.0102134528252841
"12","Greece",10423056,0.0117992290838236
"13","Portugal",10196707,0.0117258680881815
"14","Netherlands",17134873,0.010289760240957
